fy,DAA,IFN_conv,IFN_peg,PI_ifn,ribavirin
2014,6736615.9412,326801.59933,619332.82485,826748.0,10166158.65
2015,19374861.0,224563.19767,131080.535,173122.0,8100850.33
2016,6783118.0,168967.0331,33687.981,0.0,4849659.75
2017,5062848.0,130383.467,21176.054,0.0,2687889.933
2018,5051120.0,103120.0,14162.5,0.0,3124.5
2019,3165028.0,75458.5,10961.2,0.0,62956.0
2020,2356769.0,54982.009659999996,8012.8,0.0,0.0
2021,1994076.0,45146.528,7533.8,0.0,0.0
2022,1545191.0,35298.0,7072.57,0.0,0.0
2023,1527987.0,21673.0,4836.5,0.0,0.0
