edition,fy,group,product,drug_name,yakko_class,unit,sheet,total_qty
1,2014,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),1530429.0
1,2014,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),1289890.0
1,2014,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),836489.0
1,2014,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,,内服薬 外来 (院内),647467.0
1,2014,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),4571321.0
1,2014,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),3072339.0
1,2014,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),2715761.5
1,2014,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),1542995.9412
1,2014,PI_ifn,simeprevir,ソブリアードカプセル１００ｍｇ,抗ウイルス剤,,内服薬 外来 (院外),728577.0
1,2014,ribavirin,ribavirin,レベトールカプセル２００ｍｇ,抗ウイルス剤,,内服薬 入院,358853.4
1,2014,ribavirin,ribavirin,コペガス錠２００ｍｇ,抗ウイルス剤,,内服薬 入院,153304.75
1,2014,DAA,asunaprevir,スンベプラカプセル１００ｍｇ,抗ウイルス剤,,内服薬 入院,122428.0
1,2014,PI_ifn,simeprevir,ソブリアードカプセル１００ｍｇ,抗ウイルス剤,,内服薬 入院,98171.0
1,2014,DAA,daclatasvir,ダクルインザ錠６０ｍｇ,抗ウイルス剤,,内服薬 入院,61496.0
1,2014,IFN_peg,peginterferon,ペグイントロン皮下注用１００μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),236933.073
1,2014,IFN_peg,peginterferon,ペガシス皮下注１８０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 外来 (院内),175265.111
1,2014,IFN_peg,peginterferon,ペガシス皮下注９０μｇ　１ｍＬ,その他の生物学的製剤,,注射薬 外来 (院内),132260.46376
1,2014,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院内),85251.73
1,2014,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),54082.21
1,2014,IFN_peg,peginterferon,ペグイントロン皮下注用５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),39206.8
1,2014,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,,注射薬 外来 (院内),19294.0
1,2014,IFN_peg,peginterferon,ペグイントロン皮下注用１５０μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),14401.40109
1,2014,IFN_conv,interferon_conventional,イントロンＡ注射用３００　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),11251.66633
1,2014,IFN_conv,interferon_conventional,フエロン注射用６００万　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),10464.0
1,2014,IFN_conv,interferon_conventional,オーアイエフ注射用５００万ＩＵ　５００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),8825.0
1,2014,IFN_conv,interferon_conventional,スミフェロン注バイアル３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院内),5570.2
1,2014,IFN_conv,interferon_conventional,イントロンＡ注射用６００　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院内),2948.5
1,2014,IFN_peg,peginterferon,ペガシス皮下注４５μｇ　０．５ｍＬ,その他の生物学的製剤,,注射薬 外来 (院内),1773.4
1,2014,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院外),67131.0
1,2014,IFN_conv,interferon_conventional,スミフェロン注ＤＳ６００万ＩＵ　６００万国際単位,その他の生物学的製剤,,注射薬 外来 (院外),20717.0
1,2014,IFN_conv,interferon_conventional,オーアイエフ注射用５００万ＩＵ　５００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),4205.0
1,2014,IFN_conv,interferon_conventional,イントロンＡ注射用３００　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),1900.0
1,2014,IFN_conv,interferon_conventional,イントロンＡ注射用６００　６００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),0.0
1,2014,IFN_conv,interferon_conventional,スミフェロン注バイアル３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 外来 (院外),0.0
1,2014,IFN_conv,interferon_conventional,イントロンＡ注射用１，０００　１，０００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 外来 (院外),0.0
1,2014,IFN_conv,interferon_conventional,フエロン注射用３００万　３００万国際単位（溶解液付）,その他の生物学的製剤,,注射薬 入院,24612.493
1,2014,IFN_peg,peginterferon,ペグイントロン皮下注用１００μｇ／０．５ｍＬ用　（溶解液付）,その他の生物学的製剤,,注射薬 入院,10597.981
1,2014,IFN_conv,interferon_conventional,スミフェロン注ＤＳ３００万ＩＵ　３００万国際単位,その他の生物学的製剤,,注射薬 入院,6837.8
